Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00311260.7;	Putative methyltransferase NSUN5;NOL1/NOP2/Sun domain family member 5;Williams-Beuren syndrome chromosomal region 20A protein homolog	Nsun5;Wbscr20;Wbscr20a	Putative methyltransferase NSUN5	Q8K4F6	NP_663389	NM_145414	ENSMUST00000000940	MGI:2140844	465	51.03	12109.92	7265.77	9380.18	19.48	13.38	16.14	18.7	16.83	17.74	6.33	4.43	5.3	2.54	2.33	2.43	38.28	33.75	35.95
IPI00458223.2	Ribonuclease H2 subunit B;Ribonuclease HI subunit B;Deleted in lymphocytic leukemia 8 homolog	Rnaseh2b;Dleu8	Ribonuclease H2 subunit B	Q80ZV0	NP_080277	NM_026001	ENSMUST00000022499	MGI:1914403	308	34.73	12105.72	9139.43	10518.53	5.36	3.12	4.09	56.2	47.04	51.42	9.17	9.18	9.18	0.52	0.29	0.39	84.11	106.63	94.7
IPI00929869.1;IPI00109812.3;	HAUS augmin-like complex subunit 5	Haus5;Kiaa0841	Isoform 1 of HAUS augmin-like complex subunit 5;Isoform 2 of HAUS augmin-like complex subunit 5	Q9D786-1;Q9D786;Q08EB3;Q9D786-2	NP_082275	NM_027999	ENSMUST00000019697	MGI:1919159;MGI:1919159	619	69.57	12095	4774.61	7599.27	6.79	9.49	8.03	37.7	50.79	43.76	6.56	6.78	6.67	0.86	1.14	0.99	76.86	17.73	36.91
IPI00918305.1			Protein						1126	115.14	12063.72	5220.36	7935.81	NA	NA	NA	93.11	169.97	125.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00265358.1	Putative RNA helicase	Dhx38	Putative uncharacterized protein	O89064;Q6A0A1;Q80X98;Q8R1J6	NP_848467	NM_178380	ENSMUST00000042601	MGI:1927617	1228	140.62	12059.31	7950.9	9791.95	13.02	14.74	13.85	27.95	28.57	28.26	10.51	14.2	12.22	1.15	1.01	1.07	46.01	24.81	33.79
IPI00648030.2;IPI00400381.9;IPI00625118.3;IPI00648561.1	Phosphatase and actin regulator 4	Phactr4;Kiaa4120	Isoform 3 of Phosphatase and actin regulator 4;Isoform 1 of Phosphatase and actin regulator 4;Isoform 2 of Phosphatase and actin regulator 4	Q501J7-3;Q501J7;Q501J7-1;Q501J7-2;A2ALF7	NP_780515;NP_001155269	NM_175306	ENSMUST00000084170;ENSMUST00000084249;ENSMUST00000102568	MGI:2140327;MGI:2140327;MGI:2140327	704	77.61	12041.09	4739.17	7554.13	13.67	13.72	13.69	24.75	37.14	30.32	4.67	5.08	4.87	2.31	2.12	2.21	46.22	13.84	25.3
IPI00135392.3;IPI00857117.1;IPI00856850.1;IPI00856705.1	Major facilitator superfamily domain-containing protein 10;Tetracycline transporter-like protein	Mfsd10;Tetran	Major facilitator superfamily domain-containing protein 10;30 kDa protein	Q9D2V8	NP_080936	NM_026660	ENSMUST00000001109;ENSMUST00000114329;ENSMUST00000114331	MGI:1915544	456	49.37	12035.15	67242.73	28447.78	35.79	25.79	30.38	60.93	NA	60.93	10.03	9.64	9.83	3.26	NA	3.26	12.22	NA	12.22
IPI00265986.1;IPI00265987.4	Inner centromere protein	Incenp	Isoform 1 of Inner centromere protein;Isoform 2 of Inner centromere protein	Q9WU62-1;Q9WU62;Q9WU62-2	NP_057901	NM_016692	ENSMUST00000025562;ENSMUST00000113168	MGI:1313288;MGI:1313288	880	101.21	11998.64	1381.73	4071.72	43.03	29.52	35.64	4.89	5.39	5.14	6.07	10.66	8.05	5.82	2.48	3.8	46.02	6.99	17.93
IPI00858314.1;IPI00420601.5	Ubiquitin carboxyl-terminal hydrolase 10;Ubiquitin thioesterase 10;Ubiquitin-specific-processing protease 10;Deubiquitinating enzyme 10	Usp10;Ode-1;Uchrp	87 kDa protein;Ubiquitin carboxyl-terminal hydrolase 10	P52479;Q3T9L4;Q3TNN5;Q3TZB8;Q3U5E0;Q6ZQG9	NP_033488	NM_009462	ENSMUST00000108988	MGI:894652	792	87.02	11996.86	9265.3	10542.98	15.63	14	14.79	67.92	75.85	71.77	7.64	7.17	7.4	1.75	1.61	1.68	26.95	20.39	23.44
IPI00416918.3;IPI00831329.1;IPI00134329.3	Coiled-coil domain-containing protein 93;Putative uncharacterized protein	Ccdc93	Coiled-coil domain-containing protein 93;coiled-coil domain containing 93 isoform c	Q7TQK5;Q8BWK1;Q8R3S9;Q8BUE0;Q8BUU2;Q9D652	NP_001020327;NP_084231	NM_001025156	ENSMUST00000036025;ENSMUST00000112621	MGI:1918079;MGI:1918079	629	72.6	11988.92	1358.21	4035.27	4.74	4.63	4.68	64.07	65.62	64.84	8.15	10.58	9.28	0.51	0.39	0.45	90.34	9.49	29.27
IPI00858058.1	"Putative uncharacterized protein;V-crk sarcoma virus CT10 oncogene homolog (Avian);Crk protein;V-crk sarcoma virus CT10 oncogene homolog (Avian), isoform CRA_c"	Crk;RP23-136K12.1-002;mCG_10785	"V-crk sarcoma virus CT10 oncogene homolog (Avian), isoform CRA_c"	Q8JZR2			ENSMUST00000017920;ENSMUST00000108425	MGI:88508	204	22.89	11986.69	9623.57	10740.33	NA	NA	NA	55.33	66.16	60.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00469840.1	Pterin-4-alpha-carbinolamine dehydratase 2;4-alpha-hydroxy-tetrahydropterin dehydratase 2;DcoH-like protein DCoHm;Dimerization cofactor of hepatocyte nuclear factor 1 from muscle;HNF-1-alpha dimerization cofactor	Pcbd2;Dcoh2;Dcohm	Pterin-4-alpha-carbinolamine dehydratase 2	Q9CZL5	NP_082557	NM_028281	ENSMUST00000021958	MGI:1919812	136	14.83	11973.22	4891.84	7653.18	7.63	4.34	5.75	76.13	775.26	242.94	11.26	20.83	15.32	0.64	0.23	0.38	53.5	25.74	37.11
IPI00109744.1	RNA pseudouridylate synthase domain-containing protein 4	Rpusd4	RNA pseudouridylate synthase domain-containing protein 4	Q9CWX4	NP_082316	NM_028040	ENSMUST00000034543	MGI:1919239	377	42.41	11956.36	1416.56	4115.45	9.87	9.14	9.5	25.28	18.7	21.74	3.95	3.85	3.9	1.93	1.8	1.87	62.72	8.99	23.75
IPI00321753.7	Retinoic acid-induced protein 3;G-protein coupled receptor family C group 5 member A;Retinoic acid-induced gene 1 protein	Gprc5a;Rai3;Raig1	Retinoic acid-induced protein 3	Q8BHL4	NP_852109	NM_181444	ENSMUST00000050104	MGI:1891250	356	40.1	11940.07	71827.08	29285.16	21.73	40.18	29.54	19.96	66.58	36.46	5.64	3.79	4.62	3.13	8.05	5.02	32.53	56.91	43.03
IPI00453855.2	DNA topoisomerase II-binding protein 1;DNA topoisomerase IIbeta-binding protein 1	Topbp1;Kiaa0259	DNA topoisomerase 2-binding protein 1	Q6ZQF0	NP_795953	NM_176979	ENSMUST00000035164	MGI:1920018	1515	168.86	11936.3	2867.61	5850.53	33.14	32.14	32.63	13	9.48	11.1	7.81	9.19	8.47	3.66	3.03	3.33	28.01	8.41	15.35
IPI00222037.3;IPI00845556.1;IPI00850156.1	Melanoma inhibitory activity protein 3;Transport and Golgi organization protein 1	Mia3;Kiaa0268	Isoform 1 of Melanoma inhibitory activity protein 3;Isoform 2 of Melanoma inhibitory activity protein 3	Q8BI84-1;Q8BI84;Q8BI84-2	NP_796363		ENSMUST00000069922	MGI:2443183;MGI:2443183	1931	214.32	11932.7	14040.13	12943.59	NA	NA	NA	62.43	53.16	57.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00222225.2;IPI00831587.1;IPI00659515.1;IPI00831404.1	"Protein transport protein Sec24A;SEC24-related protein A;SEC24 related gene family, member A (S. cerevisiae)"	Sec24a;RP23-79E13.2-006	"Isoform 1 of Protein transport protein Sec24A;SEC24 related gene family, member A"	Q3U2P1-1;Q3U2P1;A2AA71;A4FUV5;Q8BJ88	NP_780464	NM_175255	ENSMUST00000109097;ENSMUST00000038210	MGI:1924621;MGI:1924621	1090	118.78	11920.78	19770.33	15351.8	3.78	4.25	4.01	68.24	58.7	63.29	6.59	6.36	6.47	0.48	0.54	0.51	110.39	155.29	130.93
IPI00122845.11;IPI00653400.1	Putative uncharacterized protein	Rsf1;Hbxap	remodeling and spacing factor 1	Q3UJ04;Q3UK64;Q3V3T8	NP_001074736	NM_001081267	ENSMUST00000042399	MGI:2682305	1441	161.75	11912.65	5291.72	7939.67	2.88	3.65	3.24	28.96	30.99	29.96	5.8	8.28	6.93	0.4	0.37	0.39	200.91	63.74	113.16
IPI00229662.5	Methylated-DNA--protein-cysteine methyltransferase;6-O-methylguanine-DNA methyltransferase;O-6-methylguanine-DNA-alkyltransferase	Mgmt	Methylated-DNA--protein-cysteine methyltransferase	P26187;Q4VA39	NP_032624	NM_008598	ENSMUST00000081510	MGI:96977	211	22.43	11879.34	45634.01	23283.09	9.4	7.55	8.43	31.37	37.63	34.36	12.65	13.01	12.83	0.73	0.55	0.63	59.4	242.74	120.08
IPI00377953.15;IPI00229516.1	Integrin beta-5	Itgb5	integrin beta 5 isoform 1;Isoform Beta-5B of Integrin beta-5	O70309-1;O70309;Q6PE70;O70309-2	NP_001139356;NP_034710	NM_001145884	ENSMUST00000069345;ENSMUST00000115028	MGI:96614;MGI:96614	799	88.05	11873.98	3039.74	6007.81	49.47	72.48	59.88	18.84	NA	18.84	19.33	16.96	18.11	2.91	NA	2.91	14.81	NA	14.81
IPI00110867.3;IPI00882243.1	Methyltransferase-like protein 10	Mettl10	Methyltransferase-like protein 10	Q9D853	NP_082371	NM_028095	ENSMUST00000033257	MGI:1919346	244	26.86	11866.48	14057.27	12915.5	8.72	6.65	7.61	72.11	NA	72.11	5.16	10.68	7.42	1.35	NA	1.35	46.8	NA	46.8
IPI00761177.3;IPI00169474.3;IPI00874945.1	Formin-binding protein 1-like;Transducer of Cdc42-dependent actin assembly protein 1	Fnbp1l;Toca1	formin binding protein 1-like isoform 1;formin binding protein 1-like isoform 2;42 kDa protein	Q8K012-1;Q8K012;Q8K012-2	NP_001108137;NP_694758	NM_001114665	ENSMUST00000098637;ENSMUST00000106438	MGI:1925642;MGI:1925642	609	70.47	11806.35	53511.69	25135.19	18.53	17.28	17.89	48.96	50.04	49.5	7.85	13.73	10.38	2.04	1.21	1.57	24.86	110.36	52.38
IPI00133689.7;IPI00830572.1	"WD repeat domain 75;WD repeat domain 75, isoform CRA_a"	Wdr75;mCG_116076	WD repeat domain 75	Q08EC1;Q3MIA1;Q3THS2;Q3TI30;Q3TQZ0;Q3U821;Q6IS38;Q7TMM0;Q9CRF5	NP_082875	NM_028599	ENSMUST00000027139	MGI:1920924	830	94.04	11801.56	13665.67	12699.46	25.3	20.14	22.57	90.24	71.33	80.23	6.3	9.53	7.75	3.32	1.85	2.48	15.18	21.35	18
IPI00344686.1	Putative uncharacterized protein	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2 protein	Q8C6F3	NP_997610	NM_212445	ENSMUST00000037853	MGI:1923765	503	57.69	11770.79	32373.35	19520.76	4.99	6.76	5.81	79.73	NA	79.73	9.64	17.58	13.02	0.47	NA	0.47	79.46	NA	79.46
IPI00309059.7	Protein PAT1 homolog 1;PAT1-like protein 1	Patl1	Protein PAT1 homolog 1	Q3TC46	NP_766223	NM_172635	ENSMUST00000061618	MGI:2147679	770	86.77	11695.18	21353.12	15802.8	13.69	15.95	14.77	45.12	60.22	52.12	7.17	8.76	7.93	1.62	1.56	1.59	34.34	44.47	39.07
IPI00311034.1;IPI00648828.1;IPI00648077.2	Origin recognition complex subunit 3;Origin recognition complex subunit Latheo;Origin recognition complex subunit 3-like (S. cerevisiae)	Orc3l;Orc3;RP23-176N13.4-008	Isoform 1 of Origin recognition complex subunit 3;Isoform 2 of Origin recognition complex subunit 3;Origin recognition complex subunit 3-like	Q9JK30-1;Q9JK30;Q3ULT0;Q9JK30-2;A2AT40	NP_056639;NP_001153035	NM_015824	ENSMUST00000048706;ENSMUST00000108144	MGI:1354944;MGI:1354944	715	82.34	11676.01	4737.56	7437.46	4.91	4.1	4.49	44.46	93.06	64.32	10.03	11.41	10.7	0.45	0.33	0.38	96.28	33.83	57.07
IPI00124291.1	Vacuolar protein sorting-associated protein 45	Vps45;Vps45a	Vacuolar protein sorting-associated protein 45	P97390;Q3THX4	NP_038869	NM_013841	ENSMUST00000015891	MGI:891965	570	65.05	11654.02	8888.56	10177.8	3.31	2.68	2.98	61.95	111.79	83.22	10.27	17.82	13.53	0.3	0.16	0.22	127.23	92.98	108.77
IPI00312507.2	Optic atrophy 3 protein homolog	Opa3	Optic atrophy 3 protein homolog	Q505D7	NP_997408	NM_207525	ENSMUST00000063976	MGI:2686271	179	20.11	11651.94	23950.95	16705.54	14.5	13.89	14.19	64.14	80.59	71.89	6.25	6.24	6.24	1.91	1.8	1.85	28.64	52.15	38.64
IPI00856467.1;IPI00128466.5;IPI00403535.1;IPI00170162.1;IPI00400095.3;IPI00400287.3;IPI00400376.1	BRCA1-A complex subunit BRE;Brain and reproductive organ-expressed protein;BRCA1/BRCA2-containing complex subunit 45	Bre	44 kDa protein;Isoform 2 of BRCA1-A complex subunit BRE;Isoform 3 of BRCA1-A complex subunit BRE;Isoform 1 of BRCA1-A complex subunit BRE	Q8K3W0-2;Q8K3W0;Q8K3W0-3;Q8K3W0-1	NP_653124;NP_851796	NM_144541	ENSMUST00000063813;ENSMUST00000078891;ENSMUST00000080598;ENSMUST00000114507	MGI:1333875;MGI:1333875;MGI:1333875	385	43.75	11645.35	43807.97	22586.7	11.76	4.69	7.43	72.27	135.9	99.1	13.9	13.91	13.9	0.85	0.33	0.53	34.27	251.83	92.9
IPI00123138.1	"Probable leucyl-tRNA synthetase, mitochondrial;Leucine--tRNA ligase"	Lars2	"Probable leucyl-tRNA synthetase, mitochondrial"	Q8VDC0;Q14DP3;Q14DS6;Q3V377;Q3V3U1	NP_694808	NM_153168	ENSMUST00000038863	MGI:2142973	902	101.48	11631.38	6915.28	8968.51	NA	NA	NA	61.7	53.13	57.26	12.04	7.66	9.61	NA	NA	NA	NA	NA	NA
IPI00113528.1;IPI00226260.1	Transmembrane 9 superfamily member 3;Putative uncharacterized protein	Tm9sf3;Smbp	Transmembrane 9 superfamily member 3;Putative uncharacterized protein	Q9ET30;Q3UH23;Q571B0;Q8C6F5	NP_579930	NM_133352	ENSMUST00000067800;ENSMUST00000025989	MGI:1914262;MGI:1914262	587	67.54	11619.84	61373.98	26704.97	27.99	25.71	26.82	21.23	48.66	32.14	17.65	26.19	21.5	1.74	1.2	1.45	23.91	86.22	45.4
IPI00113617.1			23 kDa protein						205	22.98	11568.34	3254	6135.42	NA	NA	NA	16.02	NA	16.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00321860.1;IPI00752314.1	Phosducin-like protein;Phosducin-like	Pdcl;RP23-464H12.4-003	Phosducin-like protein;Phosducin-like	Q9DBX2;A2AVP2;Q3UZN6;Q923E8;A2AVP3	NP_080452	NM_026176	ENSMUST00000009174;ENSMUST00000112940	MGI:1914716;MGI:1914716	301	34.41	11541.61	14663.57	13009.27	5.66	5.44	5.55	38.15	8.96	18.49	3.88	5.1	4.45	1.12	0.84	0.97	87.02	263.87	151.53
IPI00169775.6	Putative uncharacterized protein	Gemin4	gemin 4	Q3URX8;Q6P6L6;Q8K1K1	NP_796341	NM_177367	ENSMUST00000102500	MGI:2449313	1058	120.18	11538.76	18681.32	14681.93	11.64	9.61	10.57	62.84	76.36	69.27	5.97	5.98	5.98	1.6	1.29	1.43	35.53	59.69	46.05
IPI00337948.2;IPI00387213.1;IPI00653273.1	"Tyrosine-protein phosphatase non-receptor type 12;Protein-tyrosine phosphatase P19;P19-PTP;MPTP-PEST;Protein tyrosine phosphatase, non-receptor type 12;Putative uncharacterized protein;Protein tyrosine phosphatase, non-receptor type 12, isoform CRA_c"	Ptpn12;mCG_6416	"Tyrosine-protein phosphatase non-receptor type 12;Protein tyrosine phosphatase, non-receptor type 12, isoform CRA_c"	P35831;Q80UM4	NP_035333	NM_011203	ENSMUST00000030556	MGI:104673;MGI:104673	775	86.99	11535.06	7846.46	9513.64	19.08	22.46	20.7	93.01	65.09	77.81	5.03	4.14	4.56	3.02	4.16	3.54	19.49	11.21	14.78
IPI00346015.5	Nsmce4a protein	Nsmce4a	non-SMC element 4 homolog A	Q5EBG4	NP_001156327	NM_001162855	ENSMUST00000035253	MGI:1915122	381	43.75	11533.59	33254.05	19584.14	26.76	23.35	25	25.35	29.98	27.56	6.85	9.02	7.86	3.28	2.24	2.71	22.42	63.68	37.79
IPI00131540.3;IPI00749705.2	"Vesicle transport through interaction with t-SNAREs homolog 1A;Vesicle transport v-SNARE protein Vti1-like 2;Vti1-rp2;Vti1a protein;Vesicle transport through interaction with t-SNAREs homolog 1A (Yeast), isoform CRA_d"	Vti1a;Vti1;Vti1l2;mCG_140667	"Vesicle transport through interaction with t-SNAREs homolog 1A;Vesicle transport through interaction with t-SNAREs homolog 1A (Yeast), isoform CRA_d"	O89116;Q5FWJ7	NP_058558	NM_016862	ENSMUST00000070075;ENSMUST00000095950	MGI:1855699;MGI:1855699	217	24.99	11479.04	1735.99	4464.03	4.19	4.05	4.12	11.28	33.52	19.44	9.39	13.28	11.17	0.4	0.29	0.34	235.42	18.16	65.39
IPI00454140.5	"MCG15924, isoform CRA_a;Putative uncharacterized protein SKI"	Skiv2l;SKI;Stk19;mCG_15924	superkiller viralicidic activity 2-like	O70349;Q3TE28;Q3TW36;Q6NZR5;Q8C2W7;Q8CDP6;Q8R3X0	NP_067312	NM_021337	ENSMUST00000046022	MGI:1099835	1244	137.52	11469.14	7058.4	8997.43	10.15	10.53	10.34	114.35	NA	114.35	9.59	13.42	11.34	0.96	NA	0.96	35.07	NA	35.07
IPI00109033.3;IPI00648686.1;IPI00648443.1;IPI00881233.1;IPI00458939.5	Protein FAM54B	Fam54b	Isoform 1 of Protein FAM54B;26 kDa protein;24 kDa protein;22 kDa protein	Q9CWE0-1;Q9CWE0	NP_084035	NM_029759	ENSMUST00000097848;ENSMUST00000102550;ENSMUST00000116279	MGI:1924074	289	31.73	11454.16	9480.16	10420.52	16.26	17.55	16.89	23.62	24.68	24.14	9.68	10.64	10.15	1.52	1.48	1.5	38.13	26.84	31.99
IPI00177199.2;IPI00458940.3	Mediator of RNA polymerase II transcription subunit 6;Mediator complex subunit 6	Med6	Mediator of RNA polymerase II transcription subunit 6	Q921D4	NP_081489	NM_027213	ENSMUST00000101238	MGI:1917042	246	28.43	11446.59	2679.17	5537.81	13.76	14.68	14.22	31.96	NA	31.96	4.45	4.2	4.33	2.42	NA	2.42	38.42	NA	38.42
IPI00404946.1;IPI00162823.2;IPI00461455.1	Serine/threonine-protein phosphatase 4 regulatory subunit 1	Ppp4r1	"Isoform 1 of Serine/threonine-protein phosphatase 4 regulatory subunit 1;protein phosphatase 4, regulatory subunit 1 isoform b"	Q8K2V1-1;Q8K2V1;Q8K2V1-2;Q3TLM9	NP_666193;NP_001107603	NM_146081	ENSMUST00000073104;ENSMUST00000097293;ENSMUST00000112782	MGI:1917601;MGI:1917601	951	106.3	11437.22	18259.64	14451.28	22.18	27.4	24.65	77.81	71.5	74.59	10.15	10.25	10.2	2	2.37	2.18	17.48	20.96	19.14
IPI00627045.3;IPI00626104.4	"Condensin-2 complex subunit D3;Non-SMC condensin II complex subunit D3;Non-SMC condensin II complex, subunit D3"	Ncapd3;Kiaa0056	"Condensin-2 complex subunit D3;Non-SMC condensin II complex, subunit D3"	Q6ZQK0;A0EQY3;Q3UTU7;Q80W41	NP_835214	NM_178113	ENSMUST00000073127;ENSMUST00000086198	MGI:2142989;MGI:2142989	1506	169.43	11433.82	1158.7	3639.83	8.99	8.3	8.64	17.98	15.45	16.66	9.03	10.77	9.86	0.89	0.69	0.78	80.43	9.26	27.3
IPI00221566.3;IPI00775823.2	HIV Tat-specific factor 1 homolog	Htatsf1	Isoform 1 of HIV Tat-specific factor 1 homolog	Q8BGC0-1;Q8BGC0;B1AVC8	NP_082518	NM_028242	ENSMUST00000088652;ENSMUST00000114751	MGI:1919709	757	86.24	11431.01	13164.63	12267.23	9.66	9.86	9.76	51.27	48.31	49.77	7.81	21.77	13.04	1.07	0.51	0.74	45.43	48.33	46.85
IPI00124382.1	Elongation of very long chain fatty acids protein 1	Elovl1;Ssc1	Elongation of very long chain fatty acids protein 1	Q9JLJ5;Q548M4	NP_001034265;NP_062295	NM_001039176	ENSMUST00000006557;ENSMUST00000067896	MGI:1858959	279	32.68	11415.53	50525.86	24016.23	30.98	25.3	28	48.89	19.06	30.52	10.68	11.28	10.98	2.7	2.04	2.35	14.42	115.67	40.84
IPI00470077.2;IPI00468225.2;IPI00621842.6;IPI00284246.1;IPI00417165.2;IPI00849514.1;IPI00890246.1;IPI00875720.1;IPI00284242.4	Protein enabled homolog;NPC-derived proline-rich protein 1	Enah;Mena;Ndpp1	Isoform 3 of Protein enabled homolog;Isoform 2 of Protein enabled homolog;enabled homolog isoform 1;Isoform 4 of Protein enabled homolog;Isoform 6 of Protein enabled homolog;similar to avenaII;75 kDa protein	Q03173-4;Q03173;Q03173-3;Q03173-1;Q03173-5;Q03173-6	NP_001076589;NP_001076590;NP_034265;NP_032706;XP_001473862	NM_001083120	ENSMUST00000078719;ENSMUST00000111024;ENSMUST00000111025;ENSMUST00000111030	MGI:108360;MGI:108360;MGI:108360;MGI:108360;MGI:108360	783	83.78	11396.61	7595.12	9303.69	13.17	13.78	13.47	82.24	NA	82.24	9.1	19.81	13.43	1.29	NA	1.29	28.89	NA	28.89
IPI00229475.1	Junction plakoglobin;Desmoplakin-3;Desmoplakin III	Jup	Junction plakoglobin	Q02257;A2A4H7	NP_034723	NM_010593	ENSMUST00000001592;ENSMUST00000107403	MGI:96650	745	81.8	11383.4	17572.58	14143.4	21.91	35.5	27.89	14.43	14.85	14.64	20.33	10.73	14.77	1.25	2.97	1.93	37.88	33.72	35.74
IPI00943997.1;IPI00604947.6;IPI00828306.2;IPI00944152.1;IPI00605176.5	Triple functional domain protein	Trio	Isoform 4 of Triple functional domain protein;Isoform 1 of Triple functional domain protein;similar to Triple functional domain protein isoform 5;Isoform 3 of Triple functional domain protein;Isoform 2 of Triple functional domain protein	Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2	NP_001074771;XP_001475018;XP_914065	NM_001081302	ENSMUST00000090247;ENSMUST00000100733	MGI:1927230;MGI:1927230;MGI:1927230;MGI:1927230	3103	347.94	11368.62	5529.81	7928.83	14.4	17.85	16.03	26.8	25.35	26.06	7.25	4.62	5.79	1.69	2.99	2.25	39.94	15.05	24.51
IPI00128336.3;IPI00875418.1;IPI00471298.1;IPI00653642.1	GDP-fucose protein O-fucosyltransferase 2;Peptide-O-fucosyltransferase 2	Pofut2	GDP-fucose protein O-fucosyltransferase 2;45 kDa protein;23 kDa protein	Q8VHI3;B2RV73;Q3V1L7	NP_084538	NM_030262	ENSMUST00000020493	MGI:1916863	429	49.43	11344.54	12051.63	11692.74	24.11	33.57	28.45	75.3	NA	75.3	10.78	12.57	11.64	2.08	NA	2.08	16.09	NA	16.09
IPI00605125.2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	Urb2	URB2 ribosome biogenesis 2 homolog	B9EKU4;Q80U74	NP_001025047	NM_001029876	ENSMUST00000034457	MGI:2681124	1524	171.68	11310.66	4164.18	6862.91	NA	NA	NA	76.66	55.41	65.17	5.95	6.39	6.17	NA	NA	NA	NA	NA	NA
IPI00230476.5	Protein diaphanous homolog 3;Diaphanous-related formin-3;p134mDIA2	Diaph3;Diap3	Protein diaphanous homolog 3	Q9Z207;Q0VGT1;Q3TLZ9;Q3TSX1;Q3UU77;Q3UVP0;Q5DTM7;Q5PR81;Q8K331	NP_062644	NM_019670	ENSMUST00000022599	MGI:1927222	1171	133.68	11308.89	3512.55	6302.62	18.19	9.46	13.12	7.01	7.13	7.07	8.17	14.09	10.73	1.94	0.65	1.12	76.39	43.94	57.94
IPI00321396.1	Casein kinase I isoform epsilon	Csnk1e	Casein kinase I isoform epsilon	Q9JMK2;A8Y308;Q8CBH9;Q9QUI3	NP_038795	NM_013767	ENSMUST00000079284;ENSMUST00000117786;ENSMUST00000120859	MGI:1351660	416	47.32	11283.17	NA	11283.17	20.55	27.96	23.97	9.44	NA	9.44	6.1	5.21	5.64	2.77	NA	2.77	53.49	NA	53.49
IPI00226391.4	Biogenesis of lysosome-related organelles complex 1 subunit 3;Reduced pigmentation protein	Bloc1s3;Blos3;Rp	Biogenesis of lysosome-related organelles complex 1 subunit 3	Q5U5M8	NP_808360	NM_177692	ENSMUST00000077408	MGI:2678952	195	20.4	11202.2	2041.04	4781.64	2.29	3.23	2.72	108.8	NA	108.8	5.69	7.78	6.65	0.33	NA	0.33	152.44	NA	152.44
IPI00465812.2;IPI00830613.1;IPI00480250.2;IPI00652972.3;IPI00831205.1;IPI00753967.1	"Band 4.1-like protein 1;Neuronal protein 4.1;4.1N;Erythrocyte protein band 4.1-like 1;Erythrocyte protein band 4.1-like 1, isoform CRA_a"	Epb41l1;Epb4;Epb4.1l1;Kiaa0338;RP23-55C8.1-006;mCG_5224;RP23-55C8.1-002;RP23-55C8.1-008	"erythrocyte protein band 4.1-like 1 isoform a;Isoform 1 of Band 4.1-like protein 1;Erythrocyte protein band 4.1-like 1, isoform CRA_a;Erythrocyte protein band 4.1-like 1;Isoform 3 of Band 4.1-like protein 1;Erythrocyte protein band 4.1-like 1"	Q9Z2H5-2;Q9Z2H5;A2AUK5;B6ZHC9;Q9Z2H5-1;A2AUK8;A2AUK7;Q9Z2H5-3;A2AUK6	NP_001006665;NP_038538;NP_001003815	NM_001006664	ENSMUST00000029155;ENSMUST00000069919;ENSMUST00000088565;ENSMUST00000103135;ENSMUST00000103136;ENSMUST00000103137;ENSMUST00000109571;ENSMUST00000109576;ENSMUST00000109577;ENSMUST00000109574;ENSMUST00000054276;ENSMUST00000109572	MGI:103010;MGI:103010;MGI:103010;MGI:103010;MGI:103010;MGI:103010	879	98.31	11196.02	5248.78	7665.86	21.8	28.44	24.9	502.79	49.39	157.59	16.38	12.34	14.22	1.42	2.15	1.75	NA	6.61	6.61
IPI00831567.2;IPI00882371.1;IPI00876390.1	"E3 ubiquitin-protein ligase UBR5;E3 ubiquitin-protein ligase, HECT domain-containing 1;Hyperplastic discs protein homolog"	Ubr5;Edd;Edd1;Kiaa0896	ubiquitin protein ligase E3 component n-recognin 5 isoform 1;309 kDa protein;E3 ubiquitin-protein ligase UBR5	Q80TP3;Q3TSI5;Q8BJK5	NP_001074828;NP_001106192	NM_001081359	ENSMUST00000022899;ENSMUST00000110336	MGI:1918040	2798	308.96	11185.1	8533.48	9769.74	40.69	44.51	42.56	7.93	NA	7.93	11.78	13.89	12.79	3.3	NA	3.3	30.74	NA	30.74
